"date","page","query","clicks","impressions","ctr","position"
2017-01-17,"http://digi-women.com/team-member/edel-flynn-and-as-coo-of-the-digital-hub-development-agency/","digital hub development agency",0,1,0,30
2017-03-13,"http://digi-women.com/","digi line problem 2017",0,1,0,53
2017-01-12,"http://digi-women.com/team-member/joanna-norton-education-apps/","joanna norton actress",0,3,0,1
2017-02-28,"http://digi-women.com/startup-weekend-21-23-nov-2014/","startup weekend logo",0,3,0,1
2017-02-23,"http://digi-women.com/events/2017/02/women-data-science-wids-2017-rutgers-university/","rutgers data science",0,2,0,30.5
2017-02-20,"http://digi-women.com/dublin-business-school-careers-fair-2016/","dublin business school",0,2,0,32
2016-12-15,"http://digi-women.com/contact-us/","swipe summit",0,1,0,8
2016-12-21,"http://digi-women.com/team-member/lisa-nolan-virtual-admin/","lisa nolan facebook",0,1,0,31
2017-01-12,"http://digi-women.com/dublin-business-school-careers-fair-2016/","business schools in dublin",0,1,0,54
2016-12-19,"http://digi-women.com/team-member/edel-flynn-and-as-coo-of-the-digital-hub-development-agency/","edel flynn",0,1,0,2
2017-03-11,"http://digi-women.com/team-member/aisling-foley-marketing/","aisling foley",0,1,0,20
2017-02-12,"http://digi-women.com/two-females-15-males-gender-balance-failure/","female digital marketing speakers",0,1,0,29
2017-01-05,"http://digi-women.com/be-better-at-facebook-for-business/","digi facebook",0,2,0,28.5
2017-01-30,"http://digi-women.com/team-member/yoga-with-emma/","yoga with emma",0,1,0,9
2017-01-08,"http://digi-women.com/shedidit-tara-van-zyl-of-icostume/","taravan",0,1,0,3
2017-03-12,"http://digi-women.com/wearehere-unfail-unconference/","unfail",0,1,0,11
2017-01-30,"http://digi-women.com/shedidit-tara-van-zyl-of-icostume/","tara van zyl",0,2,0,6
2017-01-12,"http://digi-women.com/female-speakers-at-web-summit-2014-shedidit/","female speakers",0,1,0,31
2016-12-13,"http://digi-women.com/team-member/jessica-maybury-elucidate/","jessica maybury",0,1,0,1
2016-12-19,"http://digi-women.com/team-member/elaine-burke-silicon-republic/","elaine burke",0,4,0,1.75
2017-03-07,"http://digi-women.com/team-member/elaine-burke-silicon-republic/","elaine burke",0,7,0,1.85714285714286
2016-12-18,"http://digi-women.com/digiwomen-at-swipe-summit-february-2016/","swipe summit",0,1,0,8
2017-01-16,"http://digi-women.com/more-about-the-unfail-unconference-26th-april-2014/","unfail",0,1,0,17
2017-03-10,"http://digi-women.com/zen-hen-by-clare-mulvany/","hen zen",0,1,0,13
2017-03-06,"http://digi-women.com/shedidit-tara-van-zyl-of-icostume/","taravan",0,3,0,1.33333333333333
2017-03-07,"http://digi-women.com/","digi gender",0,1,0,7
2016-12-31,"http://digi-women.com/female-speakers-at-web-summit-2014-shedidit/","nasdaq omx ndr",0,1,0,45
2017-02-05,"http://digi-women.com/digiwomen-at-swipe-summit-february-2016/","taking a swipe",0,1,0,7
2017-02-03,"http://digi-women.com/","women in tech dublin",0,1,0,6
2017-03-12,"http://digi-women.com/dublin-business-school-digiwomen-society/","dublin business school",0,1,0,35
2017-03-09,"http://digi-women.com/dublin-business-school-careers-fair-2016/","dbs business school",0,1,0,30
2016-12-14,"http://digi-women.com/shedidit-patricia-scanlon-of-meowtek/","patricia scanlon",0,2,0,12.5
2017-02-03,"http://digi-women.com/team-member/three-thought-bubbles/","three thought bubbles",0,1,0,2
2017-03-04,"http://digi-women.com/shedidit-tara-van-zyl-of-icostume/","tara van zyl",0,1,0,3
2017-02-07,"http://digi-women.com/dublin-business-school-careers-fair-2016/","dublin business school",0,2,0,32.5
2017-01-09,"http://digi-women.com/","digi ireland",0,1,0,7
2017-02-19,"http://digi-women.com/two-females-15-males-gender-balance-failure/","female digital marketing speakers",0,1,0,28
2017-01-08,"http://digi-women.com/","digi facebook",0,2,0,7.5
2017-03-01,"http://digi-women.com/zen-hen-by-clare-mulvany/","clare mulvany",0,3,0,4
2017-02-05,"http://digi-women.com/team-member/yoga-with-emma/","yoga with emma",0,3,0,8.66666666666667
2017-03-09,"http://digi-women.com/shedidit-patricia-scanlon-of-meowtek/","patricia scanlon",0,5,0,6.4
2017-03-13,"http://digi-women.com/missing-women-in-tech-for-web-summit-2013/","web summit 2017 women in tech",0,1,0,46
2017-01-14,"http://digi-women.com/startup-weekend-21-23-nov-2014/","logo startup weekend",0,2,0,1
2017-02-27,"http://digi-women.com/author/yvonnec/","yvonne costello",0,1,0,24
2017-02-23,"http://digi-women.com/shedidit-tara-van-zyl-of-icostume/","taravan",0,2,0,1
2017-03-09,"http://digi-women.com/team-member/lorna-keogh/","lorna keogh instagram",0,1,0,6
2017-02-23,"http://digi-women.com/female-speakers-at-web-summit-2014-shedidit/","seema mody facebook",0,1,0,46
2017-03-04,"http://digi-women.com/team-member/elaine-burke-silicon-republic/","elaine burke",0,1,0,1
2016-12-20,"http://digi-women.com/team-member/elaine-burke-silicon-republic/","elaine burke",0,1,0,4
2017-02-06,"http://digi-women.com/dublin-business-school-careers-fair-2016/","careers fair poster",0,1,0,7
2016-12-14,"http://digi-women.com/team-member/linda-farrelly/","linda farrelly",0,1,0,14
2017-01-18,"http://digi-women.com/digiwomen-at-swipe-summit-february-2016/","taking a swipe",0,1,0,10
2017-03-03,"http://digi-women.com/zen-hen-by-clare-mulvany/","zen hen",0,1,0,5
