"date","page","query","device","country","countryName","clicks","impressions","ctr","position"
2017-03-10,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","miniconda","DESKTOP","nld","Netherlands",0,1,0,44
2017-03-13,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","anaconda vs miniconda","DESKTOP","usa","United States",0,1,0,13
2017-03-12,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","anaconda miniconda","DESKTOP","chn","China",0,1,0,21
2017-03-04,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","miniconda","DESKTOP","ind","India",0,1,0,46
2017-02-28,"http://getoptimise.com/blog/business/key-metrics-from-stripe/","stripe metrics","DESKTOP","usa","United States",0,1,0,3
2017-03-14,"http://getoptimise.com/blog/category/google-analytics/","scientist 2017 o2.pl","DESKTOP","zzz","Unknown Region",0,1,0,408
2017-03-15,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","anaconda and python difference","DESKTOP","usa","United States",0,1,0,35
2017-03-16,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","miniconda","DESKTOP","nzl","New Zealand",0,1,0,32
2017-03-16,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","difference between anaconda and miniconda","DESKTOP","usa","United States",0,1,0,8
2017-03-05,"http://getoptimise.com/blog/uncategorized/50-years-of-data-science/","50 years of data science","DESKTOP","chn","China",0,1,0,12
2017-03-06,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","difference between anaconda and miniconda","DESKTOP","usa","United States",0,1,0,9
2017-02-26,"http://getoptimise.com/blog/business/get-optimise-tiered-pricing-model/","tiered pricing model excel","DESKTOP","tha","Thailand",0,1,0,43
2017-03-15,"http://getoptimise.com/blog/business/get-optimise-tiered-pricing-model/","tiered pricing model","DESKTOP","usa","United States",0,3,0,37
2017-03-14,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","anaconda navigator","DESKTOP","usa","United States",0,1,0,34
2017-03-15,"http://getoptimise.com/blog/uncategorized/50-years-of-data-science/","50 years of data science","DESKTOP","chn","China",0,1,0,13
2017-03-09,"http://getoptimise.com/blog/business/get-optimise-tiered-pricing-model/","tiered pricing model","DESKTOP","usa","United States",0,2,0,33.5
2017-03-15,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","difference between anaconda and python","DESKTOP","tha","Thailand",0,1,0,29
2017-03-03,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","anaconda vs miniconda","DESKTOP","usa","United States",0,1,0,10
2017-03-08,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","anaconda lite","DESKTOP","che","Switzerland",0,1,0,23
2017-03-06,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","miniconda","DESKTOP","can","Canada",0,1,0,47
2017-03-06,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","difference between anaconda and python","DESKTOP","tur","Turkey",0,1,0,26
2017-03-12,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","anaconda repository","DESKTOP","chn","China",0,1,0,36
2017-03-09,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","miniconda","DESKTOP","vnm","Viet Nam",0,1,0,43
2017-03-14,"http://getoptimise.com/blog/uncategorized/50-years-of-data-science/","50 years of data science","DESKTOP","ind","India",0,1,0,11
2017-02-26,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","miniconda download","DESKTOP","rus","Russian Federation",0,1,0,48
2017-02-26,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","anaconda navigator download","DESKTOP","fra","France",0,1,0,34
